start_timestamp,end_timestamp,marketprice,unit,country
2022-11-13 16:00:00,2022-11-13 17:00:00,223.54,Eur/MWh,at
2022-11-13 17:00:00,2022-11-13 18:00:00,220.48,Eur/MWh,at
2022-11-13 18:00:00,2022-11-13 19:00:00,219.39,Eur/MWh,at
2022-11-13 19:00:00,2022-11-13 20:00:00,206.99,Eur/MWh,at
2022-11-13 20:00:00,2022-11-13 21:00:00,182.96,Eur/MWh,at
2022-11-13 21:00:00,2022-11-13 22:00:00,178.02,Eur/MWh,at
2022-11-13 22:00:00,2022-11-13 23:00:00,160.04,Eur/MWh,at
2022-11-13 23:00:00,2022-11-14 00:00:00,142.5,Eur/MWh,at
2022-11-14 00:00:00,2022-11-14 01:00:00,133.5,Eur/MWh,at
2022-11-14 01:00:00,2022-11-14 02:00:00,150.0,Eur/MWh,at
2022-11-14 02:00:00,2022-11-14 03:00:00,117.93,Eur/MWh,at
2022-11-14 03:00:00,2022-11-14 04:00:00,129.82,Eur/MWh,at
2022-11-14 04:00:00,2022-11-14 05:00:00,172.92,Eur/MWh,at
2022-11-14 05:00:00,2022-11-14 06:00:00,217.36,Eur/MWh,at
2022-11-14 06:00:00,2022-11-14 07:00:00,244.98,Eur/MWh,at
2022-11-14 07:00:00,2022-11-14 08:00:00,250.05,Eur/MWh,at
2022-11-14 08:00:00,2022-11-14 09:00:00,242.44,Eur/MWh,at
2022-11-14 09:00:00,2022-11-14 10:00:00,229.72,Eur/MWh,at
2022-11-14 10:00:00,2022-11-14 11:00:00,215.2,Eur/MWh,at
2022-11-14 11:00:00,2022-11-14 12:00:00,204.55,Eur/MWh,at
2022-11-14 12:00:00,2022-11-14 13:00:00,212.78,Eur/MWh,at
2022-11-14 13:00:00,2022-11-14 14:00:00,207.32,Eur/MWh,at
2022-11-14 14:00:00,2022-11-14 15:00:00,236.48,Eur/MWh,at
2022-11-14 15:00:00,2022-11-14 16:00:00,260.08,Eur/MWh,at
2022-11-14 16:00:00,2022-11-14 17:00:00,264.37,Eur/MWh,at
2022-11-14 17:00:00,2022-11-14 18:00:00,250.18,Eur/MWh,at
2022-11-14 18:00:00,2022-11-14 19:00:00,241.92,Eur/MWh,at
2022-11-14 19:00:00,2022-11-14 20:00:00,210.42,Eur/MWh,at
2022-11-14 20:00:00,2022-11-14 21:00:00,190.03,Eur/MWh,at
2022-11-14 21:00:00,2022-11-14 22:00:00,190.08,Eur/MWh,at
2022-11-14 22:00:00,2022-11-14 23:00:00,183.59,Eur/MWh,at
2022-11-14 23:00:00,2022-11-15 00:00:00,190.75,Eur/MWh,at
2022-11-15 00:00:00,2022-11-15 01:00:00,188.96,Eur/MWh,at
2022-11-15 01:00:00,2022-11-15 02:00:00,179.68,Eur/MWh,at
2022-11-15 02:00:00,2022-11-15 03:00:00,183.0,Eur/MWh,at
2022-11-15 03:00:00,2022-11-15 04:00:00,181.96,Eur/MWh,at
2022-11-15 04:00:00,2022-11-15 05:00:00,205.68,Eur/MWh,at
2022-11-15 05:00:00,2022-11-15 06:00:00,247.13,Eur/MWh,at
2022-11-15 06:00:00,2022-11-15 07:00:00,257.37,Eur/MWh,at
2022-11-15 07:00:00,2022-11-15 08:00:00,250.87,Eur/MWh,at
2022-11-15 08:00:00,2022-11-15 09:00:00,248.68,Eur/MWh,at
2022-11-15 09:00:00,2022-11-15 10:00:00,245.04,Eur/MWh,at
2022-11-15 10:00:00,2022-11-15 11:00:00,257.05,Eur/MWh,at
2022-11-15 11:00:00,2022-11-15 12:00:00,247.95,Eur/MWh,at
2022-11-15 12:00:00,2022-11-15 13:00:00,250.09,Eur/MWh,at
2022-11-15 13:00:00,2022-11-15 14:00:00,257.24,Eur/MWh,at
2022-11-15 14:00:00,2022-11-15 15:00:00,279.02,Eur/MWh,at
2022-11-15 15:00:00,2022-11-15 16:00:00,279.99,Eur/MWh,at
2022-11-15 16:00:00,2022-11-15 17:00:00,285.5,Eur/MWh,at
2022-11-15 17:00:00,2022-11-15 18:00:00,286.94,Eur/MWh,at
2022-11-15 18:00:00,2022-11-15 19:00:00,275.02,Eur/MWh,at
2022-11-15 19:00:00,2022-11-15 20:00:00,235.2,Eur/MWh,at
2022-11-15 20:00:00,2022-11-15 21:00:00,229.29,Eur/MWh,at
2022-11-15 21:00:00,2022-11-15 22:00:00,229.9,Eur/MWh,at
2022-11-15 22:00:00,2022-11-15 23:00:00,219.27,Eur/MWh,at
2022-11-15 23:00:00,2022-11-16 00:00:00,206.94,Eur/MWh,at
2022-11-16 00:00:00,2022-11-16 01:00:00,185.2,Eur/MWh,at
2022-11-16 01:00:00,2022-11-16 02:00:00,176.0,Eur/MWh,at
2022-11-16 02:00:00,2022-11-16 03:00:00,153.54,Eur/MWh,at
2022-11-16 03:00:00,2022-11-16 04:00:00,174.23,Eur/MWh,at
2022-11-16 04:00:00,2022-11-16 05:00:00,210.02,Eur/MWh,at
2022-11-16 05:00:00,2022-11-16 06:00:00,268.61,Eur/MWh,at
2022-11-16 06:00:00,2022-11-16 07:00:00,270.0,Eur/MWh,at
2022-11-16 07:00:00,2022-11-16 08:00:00,274.94,Eur/MWh,at
2022-11-16 08:00:00,2022-11-16 09:00:00,278.15,Eur/MWh,at
2022-11-16 09:00:00,2022-11-16 10:00:00,289.92,Eur/MWh,at
2022-11-16 10:00:00,2022-11-16 11:00:00,285.96,Eur/MWh,at
2022-11-16 11:00:00,2022-11-16 12:00:00,277.83,Eur/MWh,at
2022-11-16 12:00:00,2022-11-16 13:00:00,274.93,Eur/MWh,at
2022-11-16 13:00:00,2022-11-16 14:00:00,275.91,Eur/MWh,at
2022-11-16 14:00:00,2022-11-16 15:00:00,281.85,Eur/MWh,at
2022-11-16 15:00:00,2022-11-16 16:00:00,285.1,Eur/MWh,at
2022-11-16 16:00:00,2022-11-16 17:00:00,289.95,Eur/MWh,at
2022-11-16 17:00:00,2022-11-16 18:00:00,277.21,Eur/MWh,at
2022-11-16 18:00:00,2022-11-16 19:00:00,274.92,Eur/MWh,at
2022-11-16 19:00:00,2022-11-16 20:00:00,267.22,Eur/MWh,at
2022-11-16 20:00:00,2022-11-16 21:00:00,254.54,Eur/MWh,at
2022-11-16 21:00:00,2022-11-16 22:00:00,221.59,Eur/MWh,at
2022-11-16 22:00:00,2022-11-16 23:00:00,205.01,Eur/MWh,at
2022-11-16 23:00:00,2022-11-17 00:00:00,224.5,Eur/MWh,at
2022-11-17 00:00:00,2022-11-17 01:00:00,210.05,Eur/MWh,at
2022-11-17 01:00:00,2022-11-17 02:00:00,206.94,Eur/MWh,at
2022-11-17 02:00:00,2022-11-17 03:00:00,186.9,Eur/MWh,at
2022-11-17 03:00:00,2022-11-17 04:00:00,207.32,Eur/MWh,at
2022-11-17 04:00:00,2022-11-17 05:00:00,230.21,Eur/MWh,at
2022-11-17 05:00:00,2022-11-17 06:00:00,264.4,Eur/MWh,at
2022-11-17 06:00:00,2022-11-17 07:00:00,289.99,Eur/MWh,at
2022-11-17 07:00:00,2022-11-17 08:00:00,290.0,Eur/MWh,at
2022-11-17 08:00:00,2022-11-17 09:00:00,290.0,Eur/MWh,at
2022-11-17 09:00:00,2022-11-17 10:00:00,290.0,Eur/MWh,at
2022-11-17 10:00:00,2022-11-17 11:00:00,272.19,Eur/MWh,at
2022-11-17 11:00:00,2022-11-17 12:00:00,251.82,Eur/MWh,at
2022-11-17 12:00:00,2022-11-17 13:00:00,252.47,Eur/MWh,at
2022-11-17 13:00:00,2022-11-17 14:00:00,266.23,Eur/MWh,at
2022-11-17 14:00:00,2022-11-17 15:00:00,260.54,Eur/MWh,at
2022-11-17 15:00:00,2022-11-17 16:00:00,284.23,Eur/MWh,at
2022-11-17 16:00:00,2022-11-17 17:00:00,291.2,Eur/MWh,at
2022-11-17 17:00:00,2022-11-17 18:00:00,294.78,Eur/MWh,at
2022-11-17 18:00:00,2022-11-17 19:00:00,294.93,Eur/MWh,at
2022-11-17 19:00:00,2022-11-17 20:00:00,271.37,Eur/MWh,at
2022-11-17 20:00:00,2022-11-17 21:00:00,251.02,Eur/MWh,at
2022-11-17 21:00:00,2022-11-17 22:00:00,215.09,Eur/MWh,at
2022-11-17 22:00:00,2022-11-17 23:00:00,215.05,Eur/MWh,at
2022-11-17 23:00:00,2022-11-18 00:00:00,212.72,Eur/MWh,at
2022-11-18 00:00:00,2022-11-18 01:00:00,205.0,Eur/MWh,at
2022-11-18 01:00:00,2022-11-18 02:00:00,189.05,Eur/MWh,at
2022-11-18 02:00:00,2022-11-18 03:00:00,157.27,Eur/MWh,at
2022-11-18 03:00:00,2022-11-18 04:00:00,183.51,Eur/MWh,at
2022-11-18 04:00:00,2022-11-18 05:00:00,211.85,Eur/MWh,at
2022-11-18 05:00:00,2022-11-18 06:00:00,231.0,Eur/MWh,at
2022-11-18 06:00:00,2022-11-18 07:00:00,271.41,Eur/MWh,at
2022-11-18 07:00:00,2022-11-18 08:00:00,295.1,Eur/MWh,at
2022-11-18 08:00:00,2022-11-18 09:00:00,295.1,Eur/MWh,at
2022-11-18 09:00:00,2022-11-18 10:00:00,281.26,Eur/MWh,at
2022-11-18 10:00:00,2022-11-18 11:00:00,285.94,Eur/MWh,at
2022-11-18 11:00:00,2022-11-18 12:00:00,280.07,Eur/MWh,at
2022-11-18 12:00:00,2022-11-18 13:00:00,271.31,Eur/MWh,at
2022-11-18 13:00:00,2022-11-18 14:00:00,284.7,Eur/MWh,at
2022-11-18 14:00:00,2022-11-18 15:00:00,272.11,Eur/MWh,at
2022-11-18 15:00:00,2022-11-18 16:00:00,272.99,Eur/MWh,at
2022-11-18 16:00:00,2022-11-18 17:00:00,288.62,Eur/MWh,at
2022-11-18 17:00:00,2022-11-18 18:00:00,259.21,Eur/MWh,at
2022-11-18 18:00:00,2022-11-18 19:00:00,251.06,Eur/MWh,at
2022-11-18 19:00:00,2022-11-18 20:00:00,212.19,Eur/MWh,at
2022-11-18 20:00:00,2022-11-18 21:00:00,197.63,Eur/MWh,at
2022-11-18 21:00:00,2022-11-18 22:00:00,219.65,Eur/MWh,at
2022-11-18 22:00:00,2022-11-18 23:00:00,205.01,Eur/MWh,at
2022-11-18 23:00:00,2022-11-19 00:00:00,178.63,Eur/MWh,at
2022-11-19 00:00:00,2022-11-19 01:00:00,163.95,Eur/MWh,at
2022-11-19 01:00:00,2022-11-19 02:00:00,163.88,Eur/MWh,at
2022-11-19 02:00:00,2022-11-19 03:00:00,156.02,Eur/MWh,at
2022-11-19 03:00:00,2022-11-19 04:00:00,144.12,Eur/MWh,at
2022-11-19 04:00:00,2022-11-19 05:00:00,150.03,Eur/MWh,at
2022-11-19 05:00:00,2022-11-19 06:00:00,157.92,Eur/MWh,at
2022-11-19 06:00:00,2022-11-19 07:00:00,205.03,Eur/MWh,at
2022-11-19 07:00:00,2022-11-19 08:00:00,205.7,Eur/MWh,at
2022-11-19 08:00:00,2022-11-19 09:00:00,215.07,Eur/MWh,at
2022-11-19 09:00:00,2022-11-19 10:00:00,205.07,Eur/MWh,at
2022-11-19 10:00:00,2022-11-19 11:00:00,215.07,Eur/MWh,at
2022-11-19 11:00:00,2022-11-19 12:00:00,214.22,Eur/MWh,at
2022-11-19 12:00:00,2022-11-19 13:00:00,209.34,Eur/MWh,at
2022-11-19 13:00:00,2022-11-19 14:00:00,213.34,Eur/MWh,at
2022-11-19 14:00:00,2022-11-19 15:00:00,227.11,Eur/MWh,at
2022-11-19 15:00:00,2022-11-19 16:00:00,243.39,Eur/MWh,at
2022-11-19 16:00:00,2022-11-19 17:00:00,281.98,Eur/MWh,at
2022-11-19 17:00:00,2022-11-19 18:00:00,287.29,Eur/MWh,at
2022-11-19 18:00:00,2022-11-19 19:00:00,260.7,Eur/MWh,at
2022-11-19 19:00:00,2022-11-19 20:00:00,240.0,Eur/MWh,at
2022-11-19 20:00:00,2022-11-19 21:00:00,232.05,Eur/MWh,at
2022-11-19 21:00:00,2022-11-19 22:00:00,218.94,Eur/MWh,at
2022-11-19 22:00:00,2022-11-19 23:00:00,205.01,Eur/MWh,at
2022-11-19 23:00:00,2022-11-20 00:00:00,194.67,Eur/MWh,at
2022-11-20 00:00:00,2022-11-20 01:00:00,178.87,Eur/MWh,at
2022-11-20 01:00:00,2022-11-20 02:00:00,184.1,Eur/MWh,at
2022-11-20 02:00:00,2022-11-20 03:00:00,177.36,Eur/MWh,at
2022-11-20 03:00:00,2022-11-20 04:00:00,170.68,Eur/MWh,at
2022-11-20 04:00:00,2022-11-20 05:00:00,175.88,Eur/MWh,at
2022-11-20 05:00:00,2022-11-20 06:00:00,180.08,Eur/MWh,at
2022-11-20 06:00:00,2022-11-20 07:00:00,194.19,Eur/MWh,at
2022-11-20 07:00:00,2022-11-20 08:00:00,200.03,Eur/MWh,at
2022-11-20 08:00:00,2022-11-20 09:00:00,215.03,Eur/MWh,at
2022-11-20 09:00:00,2022-11-20 10:00:00,212.03,Eur/MWh,at
2022-11-20 10:00:00,2022-11-20 11:00:00,217.99,Eur/MWh,at
2022-11-20 11:00:00,2022-11-20 12:00:00,210.05,Eur/MWh,at
2022-11-20 12:00:00,2022-11-20 13:00:00,198.85,Eur/MWh,at
